
CodeIgniter v4.7.4 Command Line Tool - Server Time: 2026-08-24 20:29:30 UTC+07:00

+--------+----------------------------------------------------+------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+
| Method | Route                                              | Name | Handler                                                        | Before Filters                                                                            | After Filters                                                                        |
| GET    | invoiceHub                                         | »    | \App\Controllers\InvoiceHub::index                             | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | invoiceHub/reporting                               | »    | \App\Controllers\InvoiceHub::reporting                         | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | panduan                                            | »    | \App\Controllers\Panduan::index                                | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| GET    | panduan/index                                      | »    | \App\Controllers\Panduan::index                                | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| GET    | logaktivitas                                       | »    | \App\Controllers\LogAktivitas::index                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| GET    | logaktivitas/index                                 | »    | \App\Controllers\LogAktivitas::index                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | logaktivitas/listdata                              | »    | \App\Controllers\LogAktivitas::listData                        | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | logaktivitas/listArchive                           | »    | \App\Controllers\LogAktivitas::listArchive                     | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | logaktivitas/downloadArchive/([0-9]+)              | »    | \App\Controllers\LogAktivitas::downloadArchive/$1              | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | cron/arsip-log-mingguan                            | »    | \App\Controllers\Cron::arsipLogMingguan                        | featureMaintenance csrf                                                                   | csrfTokenResponse activityLogger                                                     |
| GET    | users/akses                                        | »    | \App\Controllers\Users::akses                                  | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | kategori/hapus/(.*)                                | »    | \App\Controllers\Kategori::index                               | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | po/hapus/(.*)                                      | »    | \App\Controllers\Po::index                                     | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | permintaanbarang/hapus/(.*)                        | »    | \App\Controllers\Permintaan::index                             | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | satuan/hapus/(.*)                                  | »    | \App\Controllers\Satuan::index                                 | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | berat/hapus/(.*)                                   | »    | \App\Controllers\Berat::index                                  | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | gudang/hapus/(.*)                                  | »    | \App\Controllers\Gudang::index                                 | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | material/hapus/(.*)                                | »    | \App\Controllers\Material::index                               | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterGudang                                        |
| GET    | materialmasuk/hapus/(.*)                           | »    | \App\Controllers\Material::index                               | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterGudang                                        |
| GET    | barang/hapus/(.*)                                  | »    | \App\Controllers\Barang::index                                 | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| GET    | produksi/edit/([^/]+)                              | »    | \App\Controllers\Produksi::edit/$1                             | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterGudang                                        |
| GET    | baranghabispakai/index                             | »    | \App\Controllers\BarangHabisPakai::index                       | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| GET    | barangmasuk/pilihanPoKeluarAktif                   | »    | \App\Controllers\Barangmasuk::pilihanPoKeluarAktif             | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterGudang                                        |
| GET    | permintaanBarang/cetakPeriode                      | »    | \App\Controllers\PermintaanBarang::cetakPeriode                | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | barangkeluar/cetak-do/([^/]+)                      | »    | \App\Controllers\Barangkeluar::cetakDo/$1                      | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | barangkeluar/detail-do/([^/]+)                     | »    | \App\Controllers\Barangkeluar::detailDo/$1                     | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| GET    | barangkeluar/file-btb/([0-9]+)                     | »    | \App\Controllers\Barangkeluar::fileBtb/$1                      | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| POST   | login/cekUser                                      | »    | \App\Controllers\Login::cekUser                                | featureMaintenance csrf                                                                   | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | data/get_filtered_data                             | »    | \App\Controllers\Data::get_filtered_data                       | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | permintaanBarang/listDataMaterial                  | »    | \App\Controllers\PermintaanBarang::listDataMaterial            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| POST   | permintaanBarang/ambilDataMaterial                 | »    | \App\Controllers\PermintaanBarang::ambilDataMaterial           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| POST   | poHabisPakai/simpan                                | »    | \App\Controllers\PoHabisPakai::simpan                          | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | poHabisPakai/terima                                | »    | \App\Controllers\PoHabisPakai::terima                          | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | poKeluar/simpan                                    | »    | \App\Controllers\PoKeluar::simpan                              | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | poKeluar/update/([0-9]+)                           | »    | \App\Controllers\PoKeluar::update/$1                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | poKeluar/batal/([0-9]+)                            | »    | \App\Controllers\PoKeluar::batal/$1                            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | poKeluar/hapus/([0-9]+)                            | »    | \App\Controllers\PoKeluar::hapus/$1                            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/listData                                        | »    | \App\Controllers\Po::listData                                  | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/import-preview                                  | »    | \App\Controllers\Po::previewImport                             | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/import-simpan                                   | »    | \App\Controllers\Po::simpanImport                              | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/tampilDataTemp                                  | »    | \App\Controllers\Po::tampilDataTemp                            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
